Prompt,Expected Answer
What was the vibration condition of Fire Water Pump 01-P-1110A?,Maximum 5.9 & 5.6 mm/sec RMS observed at pump DE (vertical & axial). Multiple harmonics with dominant 2x peak indicated misalignment. Recommendation: Perform precise alignment.
How much does one Degasser cost?,USD 769.
What is the total cost of two Goru-B Separators?,"USD 38,950."
"How many meters of piping are used in the Goru-B Separator, and what is their total cost?","The Goru-B Separator uses 54 meters of piping with a total cost of USD 1,974.19."
What is the most expensive single flange item in the Goru-B Separator?,"The most expensive flange is item 15.3, quantity 15 @ USD 387.05 each, costing USD 5,805.75."
What is the most expensive single line item in the HRL Separator?,"The most expensive item is 11 NOS of Flanges @ USD 287.93 each, totaling USD 3,167.23"
What is the least expensive individual component in the Degasser?,"The least expensive component is a Plug (USD 1.83 each, total USD 5.49 for 3 pieces)."
What type of pH meter was procured for the GTH Lab Daharki?,"A Portable pH Meter (Range 0–14), Model HI8010, quantity 1, at a unit price of 37,530 PKR."
What is the size and cost of mixing cylinders procured?,"Mixing Cylinder of 100 ml capacity, quantity 3, unit price 1,500 PKR, total cost 4,500 PKR."
What commissioning spare parts were supplied for the HP Three Phase Separator (Tag V-101)?,"The spares included:

S/W Gasket NB 24'' x 600 # (1 Nos., $228)

S/W Gasket NB 6'' x 150 # (1 Nos., $24)

Stud Bolts with 2 Nuts, M48 x 335 LG (4 Nos., $213 total)

Stud Bolts with 2 Nuts, M20 x 100 LG (2 Nos., $6 total)."
What was the total commissioning spare cost for the Tipu 3-Phase Separator (V-101)?,The total was $470 USD.
What was the commissioning spare part list for Dhariyan Flare KOD (V-201)?,"S/W Gasket NB 24'' x 150 # (1 Nos., $50)

Stud Bolts with 2 Nuts M33 x 180 LG (2 Nos., $26)."
What were the operational spares for Fuel Gas Skid (V-007)?,"2x Gasket for Top Flange 551 OD x 525 ID x 3 THK ($606)

2x Gasket for Top Flange 982 OD x 956 ID x 3 THK ($1,080)

Stud Bolts with Nuts, M25.4 x 212 LG (4 Nos., $38)

Stud Bolts with Nuts, M20 x 335 LG (4 Nos., $38)."
"In the Gas Analysis of Mari Gas-64 dated 21/04/2000, what was the methane concentration, and what supporting measurements were recorded?","On 21/04/2000, methane concentration was 0.702, with supporting measurement 759.31 and additional values 74.62 and 8.04."
"Which entries in the Gas Analysis of Mari Gas-64 carried the status “Ok”, and what were the corresponding methane concentrations?","Status “Ok” was noted on:

15/09/2008 (0.711)

26/11/2012 (0.717)

26/04/2022 (0.726)

25/05/2022 (0.726)"
"In the Gas Analysis of Mari Gas-64, how much did methane concentration change between the earliest entry in 2000 and the latest in 2023?",Methane rose from 0.702 (2000) to 0.725 (2023).
"On 28/12/2010, what was the gross heating value (GHV) of the Mari-Watayo-1:HRL gas sample?",The GHV was 719.93 Btu/ft³
What was the C1 mole fraction percentage recorded on 11/12/2011 for Mari-Watayo-1:HRL?,The C1 mole fraction was 71.76%.
"On 12/11/2015, what was the recorded specific gravity and gross heating value (GHV) for Mari-Watayo-1:HRL gas?","Specific gravity was 0.650, and GHV was 724.57 Btu/ft³."
"In the PBU Survey of 13/03/2023, what were the sample pressure and mole fraction sum for Mari-Watayo-1:HRL?","Sample pressure was 218 psig, and mole fraction sum was 94%."
What was the specific gravity of gas consistently recorded in the Mari-Qalandar-1:HRL Gas Analysis Report between 2010 and 2015?,The specific gravity was consistently 0.650 between 2010 and 2015 in the Mari-Qalandar-1:HRL Gas Analysis Report.
"In the Mari-Qalandar-1:HRL Gas Analysis Report, what gross heating value (GHV) was observed in the sample dated 30/12/2010?","On 30/12/2010, the gross heating value (GHV) was 753.229 Btu/ft³."
"In the Mari-Qalandar-1:HRL Gas Analysis Report, how did the CO₂ mole fraction vary between 2010 and 2023?","The CO₂ mole fraction ranged from 5.52% (2010), gradually increasing to 6.49% (2023)."
Which analysis entry in the Mari-Qalandar-1:HRL Gas Analysis Report is marked as “Double” in the remarks?,The entry on 30/12/2010 is marked as “Double” in the remarks.
"According to the Well wise Gas Composition Goru-B Wells dataset, what was the methane (C1) mole fraction for Mari-Qalandar-1:HRL on 29/12/2011?",The methane (C1) mole fraction was 74.07%.
"In the Well wise Gas Composition Goru-B Wells records, what nitrogen (N₂) concentration was observed in the Mari-Qalandar-1:HRL gas sample dated 04/12/2012?",The nitrogen mole fraction was 20.29%.
What specific gravity value is consistently shown for Mari-Qalandar-1:HRL in the Well wise Gas Composition Goru-B Wells document between 2010 and 2015?,The specific gravity was 0.650.
"In the Well wise Gas Composition Goru-B Wells records, how did the specific gravity of Mari-Qalandar-1:HRL change between 25/06/2015 and 31/07/2017?",It increased from 0.650 on 25/06/2015 to 0.696 on 31/07/2017.
"In the Well wise Gas Composition Goru-B Wells record for Mari-Qalandar-1:HRL, what remark was added for the samples collected on 03/03/2023?",The remark was “PBU Survey”.
"In the Well wise Gas Composition Goru-B Wells document, what gross heating value (G.H.V) was reported for Mari-Qalandar-1:HRL on 30/12/2010?",753.229 Btu/ft³.
"According to the Well wise Gas Composition Goru-B Wells, what was the methane (C1) mole percentage for Mari-Qalandar-1:HRL on 29/12/2011?",74.07%
"According to the Well wise Gas Composition Goru-B Wells, what were the methane (C1) and nitrogen (N₂) mole fractions for Mari-Qalandar-1:HRL on 08/11/2013?","Methane: 73.43%, Nitrogen: 20.34%."
"In the Well wise Gas Composition Goru-B Wells, how did the specific gravity of Mari-Qalandar-1:HRL differ between 25/06/2015 and 31/07/2017?",It increased from 0.650 to 0.696.
"What gross heating value was measured for Mari-Qalandar-1:HRL during the 03/03/2023 PBU Survey at 220 psig, as per the Well wise Gas Composition Goru-B Wells?",745.9 Btu/ft³.
"In the Surface Production Parameters of Wells document, what was the gas rate (MMscfd) for Well MD-19 at 7/11/2022 16:00 with a choke size of 36/64""?","The gas rate for Well MD-19 at 7/11/2022 16:00 with a 36/64"" choke was 16.956 MMscfd."
"From the Surface Production Parameters of Wells, what was the average WHFP and separator pressure for Well Parwaz Deep-1 at 8/11/2022 6:00?","At 8/11/2022 6:00, Well Parwaz Deep-1 had an average WHFP of 2350 psig and a separator pressure of 1208 psig."
"In the Surface Production Parameters of Wells document, what was the condensate-gas ratio (CGR) for Well MD-17 at 10/11/2022 2:00?","At 10/11/2022 2:00, Well MD-17 had a CGR of 0.87 bbls/MMSCFD."
"For Well Tipu-I in the Surface Production Parameters of Wells, what was the wellhead flowing pressure (WHFP) at 29/11/2022 09:00?","At 29/11/2022 09:00, Well Tipu-I had a WHFP of 2652 psig."
"Referring to the Surface Production Parameters of Wells, what was the water-to-gas ratio (WGR) for Well Tipu-II at 2/12/2022 8:00?","At 2/12/2022 8:00, Well Tipu-II had a WGR of 2.25 bbls/MMSCFD."
"From the Surface Production Parameters of Wells, compare the gas rates of Well MD-19 at 7/11/2022 23:00 and Well MD-12 at 9/11/2022 23:00. Which well produced more?","Well MD-19 at 7/11/2022 23:00 had a gas rate of 16.992 MMscfd.

Well MD-12 at 9/11/2022 23:00 had a gas rate of 11.798 MMscfd.
Well MD-19 produced more gas."
"In the Surface Production Parameters of Wells, what was the highest recorded WHFP for Well Parwaz Deep-1 between 8/11/2022 6:00 and 9/11/2022 0:00?",The highest WHFP recorded for Well Parwaz Deep-1 in that period was 2405 psig at 8/11/2022 23:00 and 9/11/2022 0:00.
"In the Surface Production Parameters of Wells, what was the wellhead flowing temperature (WHFT) of Well MD-17 at 10/11/2022 12:00?","At 10/11/2022 12:00, Well MD-17 had a WHFT of 149°F."
"In the Gas Composition Record of Goru-B Wells, what C2 mole fraction percentage was reported on 04/12/2012 for Mari-Qalandar-1:HRL?",The C2 mole fraction was 0.22% on 04/12/2012.
"In the document Gas Composition Record of Goru-B Wells, what was the C6 mole fraction in the analysis of Mari-Qalandar-1:HRL on 18/09/2014?",The C6 mole fraction was 5.97% on 18/09/2014.
What was the gross heating value (GHV) for Mari-Qalandar-1:HRL in the record dated 25/06/2015?,The GHV on 25/06/2015 was 747.88 Btu/ft³.
"What were the C1 and C2 mole fractions observed for Mari-Qalandar-1:HRL on 20/05/2022, as per the Gas Composition Record of Goru-B Wells?","On 20/05/2022, the C1 mole fraction was 73.23%, and the C2 mole fraction was 0.18%."
"From the file 2-Years & Commissioning Spares .xlsx, what is the Descon Proposal No. mentioned in the ""Comm"" sheet?",120001981
"From the file 2-Years & Commissioning Spares .xlsx, what is the date of the Descon Proposal in the ""Comm"" sheet?",14-09-2018
"From the file 2-Years & Commissioning Spares .xlsx, what is the currency used for pricing in the ""Comm"" sheet?",USD
"From the file 2-Years & Commissioning Spares .xlsx, what is the description of the spare in row 9 of the ""Comm"" sheet?","S/W GASKET, NB 24'' x 600 #"
"From the file 2-Years & Commissioning Spares .xlsx, what is the unit price for ""S/W GASKET, NB 6'' x 150 #"" in the ""Comm"" sheet?",23.94122731
"From the file 2-Years & Commissioning Spares .xlsx, what is the total price for ""STUD BOLTS WITH 2NUTS, SIZE M 48 x 335 LG"" in row 11 of the ""Comm"" sheet?",212.6188418
"From the file 2-Years & Commissioning Spares .xlsx, what is the tag no. for the ""PIPING FOR LP CRUDE DE-GASSER"" item in the ""Comm"" sheet?",V-301
"From the file 2-Years & Commissioning Spares .xlsx, what is the total price for all spares in the ""DHARIAN FLARE KOD SKID PACKAGE"" section of the ""Comm"" sheet?",76
"From the file 2-Years & Commissioning Spares .xlsx, what percentage of gaskets for flanges is used as the basis for commissioning spares quantities in the ""Comm"" sheet?",100%
"From the file 2-Years & Commissioning Spares .xlsx, what is the revision number mentioned in the ""2-Year"" sheet?",2
"From the file 2-Years & Commissioning Spares .xlsx, what is the total price for ""S/W GASKET, NB 24'' x 600 #"" in row 8 of the ""2-Year"" sheet?",456.0069144
"From the file 2-Years & Commissioning Spares .xlsx, what is the spares total quantity for ""STUD BOLTS WITH 2NUTS, SIZE M 33 x 180 LG"" in the ""2-Year"" sheet?",4
"From the file 2-Years & Commissioning Spares .xlsx, what is the description of the spare in row 17 of the ""2-Year"" sheet?","GASKET FOR TOP FLANGE, 982 OD x 956 ID x 3 THK"
"From the file 2-Years & Commissioning Spares .xlsx, what is the total price for all spares in the ""3-PHASE SEPARATOR FOR BHITIA -3 SKID PACKAGE"" section of the ""2-Year"" sheet?",223
"From the file 2-Years & Commissioning Spares .xlsx, what is the minimum bolting percentage (with min. 4 sets) for flanges in the ""2-Year"" sheet notes?",10%
"From the file 2-Years & Commissioning Spares .xlsx, what is the Descon Proposal No. mentioned in the ""Comm"" sheet?",120001981
"From the file 2-Years & Commissioning Spares .xlsx, what is the date of the Descon Proposal in the ""Comm"" sheet?",14-09-2018
"From the file 2-Years & Commissioning Spares .xlsx, what is the currency used for pricing in the ""Comm"" sheet?",USD
"From the file 2-Years & Commissioning Spares .xlsx, what is the description of the spare in row 9 of the ""Comm"" sheet?","S/W GASKET, NB 24'' x 600 #"
"From the file 2-Years & Commissioning Spares .xlsx, what is the unit price for ""S/W GASKET, NB 6'' x 150 #"" in the ""Comm"" sheet?",23.94122731
"From the file 2-Years & Commissioning Spares .xlsx, what is the total price for ""STUD BOLTS WITH 2NUTS, SIZE M 48 x 335 LG"" in row 11 of the ""Comm"" sheet?",212.6188418
"From the file 2-Years & Commissioning Spares .xlsx, what is the tag no. for the ""PIPING FOR LP CRUDE DE-GASSER"" item in the ""Comm"" sheet?",V-301
"From the file 2-Years & Commissioning Spares .xlsx, what is the total price for all spares in the ""DHARIAN FLARE KOD SKID PACKAGE"" section of the ""Comm"" sheet?",76
"From the file 2-Years & Commissioning Spares .xlsx, what percentage of gaskets for flanges is used as the basis for commissioning spares quantities in the ""Comm"" sheet?",100%
"From the file 2-Years & Commissioning Spares .xlsx, what is the revision number mentioned in the ""2-Year"" sheet?",2
"From the file 2-Years & Commissioning Spares .xlsx, what is the total price for ""S/W GASKET, NB 24'' x 600 #"" in row 8 of the ""2-Year"" sheet?",456.0069144
"From the file 2-Years & Commissioning Spares .xlsx, what is the spares total quantity for ""STUD BOLTS WITH 2NUTS, SIZE M 33 x 180 LG"" in the ""2-Year"" sheet?",4
"From the file 2-Years & Commissioning Spares .xlsx, what is the description of the spare in row 17 of the ""2-Year"" sheet?","GASKET FOR TOP FLANGE, 982 OD x 956 ID x 3 THK"
"From the file 2-Years & Commissioning Spares .xlsx, what is the total price for all spares in the ""3-PHASE SEPARATOR FOR BHITIA -3 SKID PACKAGE"" section of the ""2-Year"" sheet?",223
"From the file 2-Years & Commissioning Spares .xlsx, what is the minimum bolting percentage (with min. 4 sets) for flanges in the ""2-Year"" sheet notes?",10%
"From the file New Cost Working.xlsx, what is the unit price for ""BATTERY DISCONNECT SWITCH"" in row 3 of the ""Sheet1"" sheet?",77.56 USD
"From the file New Cost Working.xlsx, what is the total value for ""LEVEL GAUGE"" in row 4 of the ""Sheet1"" sheet?",130.825315301391 USD
"From the file New Cost Working.xlsx, what is the delivery date for all items in the ""Sheet1"" sheet?",15.11.2021
"From the file New Cost Working.xlsx, what is the plant code mentioned for most items in the ""Sheet1"" sheet?",WH01
"From the file New Cost Working.xlsx, what is the quantity for ""THERMOWELL"" in row 15 of the ""Sheet1"" sheet?",1
"From the file New Cost Working.xlsx, what is the final price including customs & allied charges for ""Repair kit BALL VALVE"" in row 18 of the ""Sheet1"" sheet?",429.61831530139096 USD
"From the file New Cost Working.xlsx, what is the UOM for ""Repair kit ACTUATED BALL VALVE"" in row 19 of the ""Sheet1"" sheet?",KIT
"From the file New Cost Working.xlsx, what is the total cost for ""Repair kit RELIEF VALVE"" in row 23 of the ""Sheet1"" sheet?",748.7663153013909 USD
"From the file New Cost Working.xlsx, what is the PGR value for all items in the ""Sheet1"" sheet?",11
"From the file New Cost Working.xlsx, what is the material code for ""CJC Thermistors (Qty 2)"" in row 289 of the ""Sheet1"" sheet?",50050588
"From the file Tipu Profile with Condensate_2.xlsx, what is the initial pressure used for Goru-B in the ""Production Profile -Tipu"" sheet?",3950 Psi
"From the file Tipu Profile with Condensate_2.xlsx, what is the gas rate for the Tipu Field on date 43252 in the ""Production Profile -Tipu"" sheet?",40 MMscf/day
"From the file Tipu Profile with Condensate_2.xlsx, what is the cumulative gas produced by date 43313 in the ""Production Profile -Tipu"" sheet?",2.44 Bscf
"From the file Tipu Profile with Condensate_2.xlsx, what is the WHFP for Tipu-1 on date 43374 in the ""Production Profile -Tipu"" sheet?",2431.45 Psi
"From the file Tipu Profile with Condensate_2.xlsx, what is the condensate rate for the Tipu Field on date 43435 in the ""Production Profile -Tipu"" sheet?",1134.74 BBls
"From the file Tipu Profile with Condensate_2.xlsx, how many producers are active on date 45748 in the ""Production Profile -Tipu"" sheet?",3
"From the file Tipu Profile with Condensate_2.xlsx, what is the water rate for the Tipu Field on date 45839 in the ""Production Profile -Tipu"" sheet?",128.623 BBls
"From the file Tipu Profile with Condensate_2.xlsx, what is the average gas rate for Bhitai Field on date 43101 in the ""SML SUL"" sheet?",20.000000000000007 MMscfd
"From the file Tipu Profile with Condensate_2.xlsx, what is the WHFP for Bhitai-2 on date 43466 in the ""SML SUL"" sheet?",807.258 psig
"From the file Tipu Profile with Condensate_2.xlsx, what is the cumulative gas produced for Bhitai Field by date 43831 in the ""SML SUL"" sheet?",46.01499999999999 Bscf
"From the file Tipu Profile with Condensate_2.xlsx, what is the average gas rate for Shaheen-1 on date 44197 in the ""SML SUL"" sheet?",7.600000000000002 MMscfd
"From the file Tipu Profile with Condensate_2.xlsx, what is the tank pressure on date 46143 in the ""Sheet3"" sheet?",1056.88 psia
"From the file Tipu Profile with Condensate_2.xlsx, what is the gas recovery factor on date 46204 in the ""Sheet3"" sheet?",74.6178 percent
"From the file Tipu Profile with Condensate_2.xlsx, what is the water-gas ratio (WGR) on date 46174 in the ""Sheet3"" sheet?",5.89663 STB/MMscf
"From the file Tipu Profile with Condensate_2.xlsx, what is the cumulative oil produced by date 46266 in the ""Sheet3"" sheet?",0.107854 MMSTB
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the job number mentioned in the ""Cover sheet"" sheet?",9039704
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the title of the document in the ""Cover sheet"" sheet?",MANUAL VALVES LIST
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the revision number mentioned in the ""Cover sheet"" sheet?",0
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the date of revision 0 in the ""Cover sheet"" sheet?",44098
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the valve type for valve number 5003 in the ""Manual Valve list OFF SKID"" sheet?",BUTTERFLY VALVE
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the size of valve number 5005 in the ""Manual Valve list OFF SKID"" sheet?",2 inches
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the rating/ends for valve number 5016 in the ""Manual Valve list OFF SKID"" sheet?",600/FL
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the special feature for valve number 5023 in the ""Manual Valve list OFF SKID"" sheet?",CSO
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the quantity of valve number 26018 in the ""Manual Valve list OFF SKID"" sheet?",1
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the special feature for valve number 26025 in the ""Manual Valve list OFF SKID"" sheet?",CSO - NACE MR0175
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the valve type for valve number 6003 in the ""Manula Valve List ON SKID"" sheet?",SWING CHECK VALVE
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the SKID number for valve number 6006 in the ""Manula Valve List ON SKID"" sheet?",SKID 3
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the special feature for valve number 6002 in the ""Manula Valve List ON SKID"" sheet?",WITH POSITIONAL INDICATOR
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the size of valve number IA-500 on SKID 3 in the ""Manula Valve List ON SKID"" sheet?",0.5 inches
"From the file 9039704-000-800-T004 - Manual Valves List_Rev 00.xlsx, what is the note for valve number IA-500 in the ""Manula Valve List ON SKID"" sheet?",Valves for Instrument air connection
"From the file HC Recovery.xlsx, what is the N2 composition in the Inlet to Plant stream in the ""Sheet1"" sheet?",11.35%
"From the file HC Recovery.xlsx, what is the CO2 composition in the Sales Gas stream in the ""Sheet1"" sheet?",2.95%
"From the file HC Recovery.xlsx, what is the Methane composition in the Inlet to 2nd Membrane stream in the ""Sheet1"" sheet?",21.82%
"From the file HC Recovery.xlsx, what is the 2nd Stage Residue molar flow for Ethane in the ""Sheet1"" sheet?",0.120615
"From the file HC Recovery.xlsx, what is the Final Permeate composition for Propane in the ""Sheet1"" sheet?",0%
"From the file HC Recovery.xlsx, what is the Permeate Molar Flow for CO2 in the ""Sheet1"" sheet?",17.549742
"From the file HC Recovery.xlsx, what is the Back Calculation for Permeate Composition for Methane in the ""Sheet1"" sheet?",4.28%
"From the file HC Recovery.xlsx, what is the nButane composition in the Sales Gas stream in the ""Sheet1"" sheet?",0.18%
"From the file HC Recovery.xlsx, what is the Feed Hydrocarbon value in the Back Calculation for Permeate Composition in the ""Sheet1"" sheet?",42.89%
"From the file HC Recovery.xlsx, what is the Water composition in the Inlet to Plant stream in the ""Sheet1"" sheet?",0.26%
